"c","Year","Sales"
"Netherlands",2033,521445
"Netherlands",2034,531145
"Netherlands",2035,540904
"Netherlands",2036,550842
"Netherlands",2037,560757
"Netherlands",2038,571157
"Netherlands",2039,580381
"Netherlands",2040,589606
"Netherlands",2041,598830
"Netherlands",2042,608054
"Netherlands",2043,617278
"Netherlands",2044,626502
"Netherlands",2045,635724
"Netherlands",2046,644947
"Netherlands",2047,654170
"Netherlands",2048,663392
"Netherlands",2049,672615
"Netherlands",2050,681837
"New Zealand",2015,101
"New Zealand",2016,152
"New Zealand",2017,581
"New Zealand",2018,808
"New Zealand",2019,1905
"New Zealand",2020,1538
"New Zealand",2021,6839
"New Zealand",2022,16099
"New Zealand",2023,21313
"New Zealand",2024,38404
"New Zealand",2025,43275
"New Zealand",2026,57035
"New Zealand",2027,73287
"New Zealand",2028,81598
"New Zealand",2029,90898
"New Zealand",2030,96907
"New Zealand",2031,109129
"New Zealand",2032,124480
"New Zealand",2033,142300
"New Zealand",2034,157832
"New Zealand",2035,168702
"New Zealand",2036,174902
"New Zealand",2037,183502
"New Zealand",2038,197548
"New Zealand",2039,202859
"New Zealand",2040,208493
"New Zealand",2041,214486
"New Zealand",2042,220877
"New Zealand",2043,227756
"New Zealand",2044,230958
"New Zealand",2045,234258
"New Zealand",2046,237663
"New Zealand",2047,241189
"New Zealand",2048,244834
"New Zealand",2049,246140
"New Zealand",2050,247445
"Nigeria",2015,0
"Nigeria",2016,0
"Nigeria",2017,0
"Nigeria",2018,0
"Nigeria",2019,0
"Nigeria",2020,0
"Nigeria",2021,205
"Nigeria",2022,642
"Nigeria",2023,650
"Nigeria",2024,41960
"Nigeria",2025,62041
"Nigeria",2026,82646
"Nigeria",2027,126836
"Nigeria",2028,179188
"Nigeria",2029,225781
"Nigeria",2030,323150
"Nigeria",2031,454542
"Nigeria",2032,598521
"Nigeria",2033,754813
"Nigeria",2034,901384
"Nigeria",2035,1062318
"Nigeria",2036,1227706
"Nigeria",2037,1404047
"Nigeria",2038,1593867
"Nigeria",2039,1799071
"Nigeria",2040,2024496
"Nigeria",2041,2142633
"Nigeria",2042,2271890
"Nigeria",2043,2423194
"Nigeria",2044,2596187
"Nigeria",2045,2804158
"Nigeria",2046,2921988
"Nigeria",2047,3045148
"Nigeria",2048,3180659
"Nigeria",2049,3320824
"Nigeria",2050,3505600
"Norway",2015,26459
"Norway",2016,25010
"Norway",2017,34029
"Norway",2018,47993
"Norway",2019,62243
"Norway",2020,79461
"Norway",2021,119319
"Norway",2022,145127
"Norway",2023,112825
"Norway",2024,161367
"Norway",2025,183061
"Norway",2026,185195
"Norway",2027,187652
"Norway",2028,190159
"Norway",2029,192646
"Norway",2030,195312
"Norway",2031,198143
"Norway",2032,200874
"Norway",2033,203632
"Norway",2034,206493
"Norway",2035,209442
"Norway",2036,211491
"Norway",2037,213539
"Norway",2038,215589
"Norway",2039,217638
"Norway",2040,219687
"Norway",2041,221736
"Norway",2042,223784
"Norway",2043,225834
"Norway",2044,227883
"Norway",2045,229931
"Norway",2046,231981
"Norway",2047,234030
"Norway",2048,236078
"Norway",2049,238128
"Norway",2050,240177
"Pakistan",2015,0
"Pakistan",2016,0
"Pakistan",2017,0
"Pakistan",2018,0
"Pakistan",2019,0
"Pakistan",2020,0
"Pakistan",2021,28
"Pakistan",2022,13
"Pakistan",2023,11
"Pakistan",2024,56103
"Pakistan",2025,72403
"Pakistan",2026,87881
"Pakistan",2027,123568
"Pakistan",2028,181081
"Pakistan",2029,265579
"Pakistan",2030,388828
"Pakistan",2031,496658
"Pakistan",2032,630160
"Pakistan",2033,791015
"Pakistan",2034,940987
"Pakistan",2035,1102661
"Pakistan",2036,1310485
"Pakistan",2037,1533538
"Pakistan",2038,1771830
"Pakistan",2039,2017727
"Pakistan",2040,2278178
"Pakistan",2041,2379865
"Pakistan",2042,2481935
"Pakistan",2043,2584370
"Pakistan",2044,2682169
"Pakistan",2045,2779968
"Pakistan",2046,2877767
"Pakistan",2047,2975565
"Pakistan",2048,3073365
"Pakistan",2049,3171163
"Pakistan",2050,3268962
"Peru",2015,0
"Peru",2016,0
"Peru",2017,0
"Peru",2018,0
"Peru",2019,20
"Peru",2020,26
"Peru",2021,37
"Peru",2022,159
"Peru",2023,281
"Peru",2024,4123
"Peru",2025,5542
"Peru",2026,6248
"Peru",2027,7935
"Peru",2028,11409
"Peru",2029,18475
"Peru",2030,30447
"Peru",2031,38254
"Peru",2032,46983
"Peru",2033,56704
"Peru",2034,65329
"Peru",2035,76101
"Peru",2036,85692
"Peru",2037,95951
"Peru",2038,107264
"Peru",2039,117943
"Peru",2040,129651
"Peru",2041,132954
"Peru",2042,136285
"Peru",2043,139642
"Peru",2044,143012
"Peru",2045,146438
"Peru",2046,149127
"Peru",2047,151818
"Peru",2048,154508
"Peru",2049,157198
"Peru",2050,159888
"Philippines",2015,0
"Philippines",2016,0
"Philippines",2017,0
"Philippines",2018,0
"Philippines",2019,350
"Philippines",2020,267
"Philippines",2021,219
"Philippines",2022,267
"Philippines",2023,298
"Philippines",2024,14132
"Philippines",2025,16611
"Philippines",2026,19484
"Philippines",2027,22773
"Philippines",2028,30345
"Philippines",2029,76572
"Philippines",2030,193106
"Philippines",2031,213536
"Philippines",2032,234705
"Philippines",2033,256611
"Philippines",2034,279256
"Philippines",2035,302639
"Philippines",2036,335591
"Philippines",2037,369650
"Philippines",2038,404816
"Philippines",2039,441089
"Philippines",2040,478470
"Philippines",2041,487695
"Philippines",2042,496921
"Philippines",2043,506147
"Philippines",2044,515373
"Philippines",2045,524598
"Philippines",2046,533824
"Philippines",2047,543050
"Philippines",2048,552276
"Philippines",2049,561501
"Philippines",2050,570727
"Poland",2015,122
"Poland",2016,170
"Poland",2017,556
"Poland",2018,747
"Poland",2019,1595
"Poland",2020,3746
"Poland",2021,7263
"Poland",2022,12746
"Poland",2023,19682
"Poland",2024,160504
"Poland",2025,296044
"Poland",2026,405499
"Poland",2027,570549
"Poland",2028,739429
"Poland",2029,903631
"Poland",2030,1084847
"Poland",2031,1177831
"Poland",2032,1270812
"Poland",2033,1369980
"Poland",2034,1477275
"Poland",2035,1599221
"Poland",2036,1715728
"Poland",2037,1842657
"Poland",2038,1977649
"Poland",2039,2129095
"Poland",2040,2327138
"Poland",2041,2407290
"Poland",2042,2487990
"Poland",2043,2570001
"Poland",2044,2652518
"Poland",2045,2739873
"Poland",2046,2818479
"Poland",2047,2897086
"Poland",2048,2975694
"Poland",2049,3054301
"Poland",2050,3132909
"Portugal",2015,816
"Portugal",2016,912
"Portugal",2017,1946
"Portugal",2018,4736
"Portugal",2019,7106
"Portugal",2020,8111
"Portugal",2021,13797
"Portugal",2022,19339
"Portugal",2023,39025
"Portugal",2024,59726
"Portugal",2025,92218
"Portugal",2026,122253
"Portugal",2027,156273
"Portugal",2028,191506
"Portugal",2029,226954
"Portugal",2030,265879
"Portugal",2031,275331
"Portugal",2032,284949
"Portugal",2033,295493
"Portugal",2034,301059
"Portugal",2035,306625
"Portugal",2036,312192
"Portugal",2037,317758
"Portugal",2038,323329
"Portugal",2039,328891
"Portugal",2040,334453
"Portugal",2041,340015
"Portugal",2042,345576
"Portugal",2043,351138
"Portugal",2044,356700
"Portugal",2045,362262
"Portugal",2046,367825
"Portugal",2047,373386
"Portugal",2048,378948
"Portugal",2049,384510
"Portugal",2050,390072
"Rest of EU",2015,370
"Rest of EU",2016,710
"Rest of EU",2017,1228
"Rest of EU",2018,2148
"Rest of EU",2019,3313
"Rest of EU",2020,6607
"Rest of EU",2021,11024
"Rest of EU",2022,16604
"Rest of EU",2023,28253
"Rest of EU",2024,86686
"Rest of EU",2025,144994
"Rest of EU",2026,186584
"Rest of EU",2027,249001
"Rest of EU",2028,309269
"Rest of EU",2029,363042
"Rest of EU",2030,419673
"Rest of EU",2031,437336
"Rest of EU",2032,454381
"Rest of EU",2033,472122
"Rest of EU",2034,490168
"Rest of EU",2035,510678
"Rest of EU",2036,529455
"Rest of EU",2037,550484
"Rest of EU",2038,573032
"Rest of EU",2039,597738
"Rest of EU",2040,629910
"Rest of EU",2041,640340
"Rest of EU",2042,651041
"Rest of EU",2043,662350
"Rest of EU",2044,673850
"Rest of EU",2045,687491
"Rest of EU",2046,696841
"Rest of EU",2047,706218
"Rest of EU",2048,715615
"Rest of EU",2049,725036
"Rest of EU",2050,734485
"Rest of Middle East/Africa",2015,0
"Rest of Middle East/Africa",2016,0
"Rest of Middle East/Africa",2017,161
"Rest of Middle East/Africa",2018,176
"Rest of Middle East/Africa",2019,404
"Rest of Middle East/Africa",2020,468
"Rest of Middle East/Africa",2021,2120
"Rest of Middle East/Africa",2022,2988
"Rest of Middle East/Africa",2023,6195
"Rest of Middle East/Africa",2024,89226
"Rest of Middle East/Africa",2025,118493
"Rest of Middle East/Africa",2026,148692
"Rest of Middle East/Africa",2027,197372
"Rest of Middle East/Africa",2028,272851
"Rest of Middle East/Africa",2029,421227
"Rest of Middle East/Africa",2030,718789
"Rest of Middle East/Africa",2031,909230
"Rest of Middle East/Africa",2032,1122175
"Rest of Middle East/Africa",2033,1354937
"Rest of Middle East/Africa",2034,1569690
"Rest of Middle East/Africa",2035,1804183
"Rest of Middle East/Africa",2036,2094451
"Rest of Middle East/Africa",2037,2401219
"Rest of Middle East/Africa",2038,2731547
"Rest of Middle East/Africa",2039,3071667
"Rest of Middle East/Africa",2040,3445066
"Rest of Middle East/Africa",2041,3592360
"Rest of Middle East/Africa",2042,3747055
"Rest of Middle East/Africa",2043,3918665
"Rest of Middle East/Africa",2044,4086152
"Rest of Middle East/Africa",2045,4277855
"Rest of Middle East/Africa",2046,4425504
"Rest of Middle East/Africa",2047,4576641
"Rest of Middle East/Africa",2048,4732184
"Rest of Middle East/Africa",2049,4881669
"Rest of Middle East/Africa",2050,5036075
"Rest of South America",2015,27
"Rest of South America",2016,55
"Rest of South America",2017,88
"Rest of South America",2018,275
"Rest of South America",2019,623
"Rest of South America",2020,890
"Rest of South America",2021,2856
"Rest of South America",2022,5779
"Rest of South America",2023,11350
"Rest of South America",2024,29205
"Rest of South America",2025,36524
"Rest of South America",2026,42523
"Rest of South America",2027,54371
"Rest of South America",2028,79710
"Rest of South America",2029,120628
"Rest of South America",2030,187823
"Rest of South America",2031,230476
"Rest of South America",2032,276335
"Rest of South America",2033,324207
"Rest of South America",2034,370106
"Rest of South America",2035,419736
"Rest of South America",2036,479299
"Rest of South America",2037,541122
"Rest of South America",2038,607198
"Rest of South America",2039,673075
"Rest of South America",2040,743328
"Rest of South America",2041,763070
"Rest of South America",2042,784647
"Rest of South America",2043,807635
"Rest of South America",2044,828978
"Rest of South America",2045,854427
"Rest of South America",2046,871399
"Rest of South America",2047,888578
"Rest of South America",2048,906143
"Rest of South America",2049,923859
"Rest of South America",2050,942879
"Rest of South Asia/Oceania",2015,3152
"Rest of South Asia/Oceania",2016,471
"Rest of South Asia/Oceania",2017,310
"Rest of South Asia/Oceania",2018,54
"Rest of South Asia/Oceania",2019,175
"Rest of South Asia/Oceania",2020,256
"Rest of South Asia/Oceania",2021,706
"Rest of South Asia/Oceania",2022,1680
"Rest of South Asia/Oceania",2023,5161
"Rest of South Asia/Oceania",2024,36583
"Rest of South Asia/Oceania",2025,58645
"Rest of South Asia/Oceania",2026,73529
"Rest of South Asia/Oceania",2027,93932
"Rest of South Asia/Oceania",2028,122775
"Rest of South Asia/Oceania",2029,160069
"Rest of South Asia/Oceania",2030,213554
"Rest of South Asia/Oceania",2031,262686
"Rest of South Asia/Oceania",2032,332612
"Rest of South Asia/Oceania",2033,437151
"Rest of South Asia/Oceania",2034,531606
"Rest of South Asia/Oceania",2035,655408
"Rest of South Asia/Oceania",2036,752674
"Rest of South Asia/Oceania",2037,856001
"Rest of South Asia/Oceania",2038,967086
"Rest of South Asia/Oceania",2039,1078360
"Rest of South Asia/Oceania",2040,1207602
"Rest of South Asia/Oceania",2041,1265082
"Rest of South Asia/Oceania",2042,1324485
"Rest of South Asia/Oceania",2043,1387060
"Rest of South Asia/Oceania",2044,1450807
"Rest of South Asia/Oceania",2045,1523247
"Rest of South Asia/Oceania",2046,1579984
"Rest of South Asia/Oceania",2047,1638325
"Rest of South Asia/Oceania",2048,1698976
"Rest of South Asia/Oceania",2049,1760194
"Rest of South Asia/Oceania",2050,1826482
"Romania",2015,72
"Romania",2016,73
"Romania",2017,235
"Romania",2018,528
"Romania",2019,1667
"Romania",2020,2866
"Romania",2021,6375
"Romania",2022,11741
"Romania",2023,15475
"Romania",2024,65499
"Romania",2025,108562
"Romania",2026,145660
"Romania",2027,201876
"Romania",2028,257099
"Romania",2029,307003
"Romania",2030,364197
"Romania",2031,394744
"Romania",2032,424557
"Romania",2033,457796
"Romania",2034,491072
"Romania",2035,529561
"Romania",2036,564522
"Romania",2037,608341
"Romania",2038,653153
"Romania",2039,705282
"Romania",2040,778442
"Romania",2041,798363
"Romania",2042,818315
"Romania",2043,838338
"Romania",2044,858385
"Romania",2045,878693
"Romania",2046,898520
"Romania",2047,918348
"Romania",2048,938174
"Romania",2049,958002
"Romania",2050,977829
"Russia",2015,112
"Russia",2016,356
"Russia",2017,111
"Russia",2018,151
"Russia",2019,363
"Russia",2020,780
"Russia",2021,1256
"Russia",2022,762
"Russia",2023,1915
"Russia",2024,52051
"Russia",2025,69028
"Russia",2026,78953
"Russia",2027,90255
"Russia",2028,104956
"Russia",2029,191386
"Russia",2030,379404
"Russia",2031,479471
"Russia",2032,594312
"Russia",2033,725003
"Russia",2034,854812
"Russia",2035,999480
"Russia",2036,1140183
"Russia",2037,1287488
"Russia",2038,1441709
"Russia",2039,1601772
"Russia",2040,1769128
"Russia",2041,1821609
"Russia",2042,1874283
"Russia",2043,1927150
"Russia",2044,1980128
"Russia",2045,2033459
"Russia",2046,2082834
"Russia",2047,2132208
"Russia",2048,2181583
"Russia",2049,2230956
"Russia",2050,2280331
"Saudi Arabia",2015,0
"Saudi Arabia",2016,0
"Saudi Arabia",2017,0
"Saudi Arabia",2018,0
"Saudi Arabia",2019,0
"Saudi Arabia",2020,50
"Saudi Arabia",2021,241
"Saudi Arabia",2022,388
"Saudi Arabia",2023,1532
"Saudi Arabia",2024,33248
"Saudi Arabia",2025,38715
"Saudi Arabia",2026,44928
"Saudi Arabia",2027,52163
"Saudi Arabia",2028,60297
"Saudi Arabia",2029,114106
"Saudi Arabia",2030,258764
"Saudi Arabia",2031,315785
"Saudi Arabia",2032,374562
"Saudi Arabia",2033,435095
"Saudi Arabia",2034,497385
"Saudi Arabia",2035,561430
"Saudi Arabia",2036,646239
"Saudi Arabia",2037,733389
"Saudi Arabia",2038,822880
"Saudi Arabia",2039,914713
"Saudi Arabia",2040,1008888
"Saudi Arabia",2041,1023522
"Saudi Arabia",2042,1038156
"Saudi Arabia",2043,1052790
"Saudi Arabia",2044,1067425
"Saudi Arabia",2045,1082059
"Saudi Arabia",2046,1096693
"Saudi Arabia",2047,1111327
"Saudi Arabia",2048,1125961
"Saudi Arabia",2049,1140596
"Saudi Arabia",2050,1155230
"Singapore",2015,0
"Singapore",2016,2
"Singapore",2017,535
"Singapore",2018,511
"Singapore",2019,1072
"Singapore",2020,502
"Singapore",2021,2546
"Singapore",2022,3378
"Singapore",2023,4660
"Singapore",2024,10747
"Singapore",2025,16153
"Singapore",2026,21339
"Singapore",2027,28453
"Singapore",2028,37643
"Singapore",2029,49910
"Singapore",2030,65517
"Singapore",2031,75579
"Singapore",2032,83799
"Singapore",2033,98348
"Singapore",2034,108426
"Singapore",2035,118994
"Singapore",2036,130047
"Singapore",2037,139788
"Singapore",2038,149848
"Singapore",2039,158122
"Singapore",2040,166518
"Singapore",2041,174809
"Singapore",2042,183121
"Singapore",2043,191732
"Singapore",2044,199006
"Singapore",2045,206278
"Singapore",2046,213426
"Singapore",2047,220575
"Singapore",2048,227723
"Singapore",2049,234871
"Singapore",2050,242020
"Slovakia",2015,15
"Slovakia",2016,67
"Slovakia",2017,226
"Slovakia",2018,322
"Slovakia",2019,171
"Slovakia",2020,936
"Slovakia",2021,1166
"Slovakia",2022,1609
"Slovakia",2023,2753
"Slovakia",2024,24599
"Slovakia",2025,45597
"Slovakia",2026,60728
"Slovakia",2027,80332
"Slovakia",2028,100133
"Slovakia",2029,119649
"Slovakia",2030,140974
"Slovakia",2031,148113
"Slovakia",2032,154962
"Slovakia",2033,161930
"Slovakia",2034,169148
"Slovakia",2035,177077
"Slovakia",2036,184859
"Slovakia",2037,193736
"Slovakia",2038,203208
"Slovakia",2039,213862
"Slovakia",2040,227125
"Slovakia",2041,232374
"Slovakia",2042,237624
"Slovakia",2043,242875
"Slovakia",2044,248126
"Slovakia",2045,253381
"Slovakia",2046,258629
"Slovakia",2047,263876
"Slovakia",2048,269124
"Slovakia",2049,274372
"Slovakia",2050,279620
"South Africa",2015,111
"South Africa",2016,100
"South Africa",2017,135
"South Africa",2018,66
"South Africa",2019,156
"South Africa",2020,90
"South Africa",2021,210
"South Africa",2022,440
"South Africa",2023,806
"South Africa",2024,16207
"South Africa",2025,19512
"South Africa",2026,23401
"South Africa",2027,27927
"South Africa",2028,33775
"South Africa",2029,70732
"South Africa",2030,147886
"South Africa",2031,185000
"South Africa",2032,224626
"South Africa",2033,266764
"South Africa",2034,311415
"South Africa",2035,358577
"South Africa",2036,420623
"South Africa",2037,486019
"South Africa",2038,554764
"South Africa",2039,626859
"South Africa",2040,702303
"South Africa",2041,723238
"South Africa",2042,744173
"South Africa",2043,765108
"South Africa",2044,786043
"South Africa",2045,806978
"South Africa",2046,827913
"South Africa",2047,848847
"South Africa",2048,869782
"South Africa",2049,890717
"South Africa",2050,911652
"South Korea",2015,2995
"South Korea",2016,5771
"South Korea",2017,13839
"South Korea",2018,32084
"South Korea",2019,32659
"South Korea",2020,45501
"South Korea",2021,96395
"South Korea",2022,159243
"South Korea",2023,157873
"South Korea",2024,154099
"South Korea",2025,210743
"South Korea",2026,287981
"South Korea",2027,393636
"South Korea",2028,538125
"South Korea",2029,735347
"South Korea",2030,1004922
"South Korea",2031,1012756
"South Korea",2032,1057653
"South Korea",2033,1131279
"South Korea",2034,1156394
"South Korea",2035,1198501
"South Korea",2036,1217279
"South Korea",2037,1235637
"South Korea",2038,1253575
"South Korea",2039,1271223
"South Korea",2040,1288449
"South Korea",2041,1278400
"South Korea",2042,1268351
"South Korea",2043,1258302
"South Korea",2044,1248253
"South Korea",2045,1238204
"South Korea",2046,1228155
"South Korea",2047,1218105
"South Korea",2048,1208056
"South Korea",2049,1198007
"South Korea",2050,1187958
"Spain",2015,2176
"Spain",2016,3023
"Spain",2017,5029
"Spain",2018,7713
"Spain",2019,11955
"Spain",2020,19871
"Spain",2021,27086
"Spain",2022,35264
"Spain",2023,60801
"Spain",2024,261811
"Spain",2025,495334
"Spain",2026,663892
"Spain",2027,841161
"Spain",2028,1028307
"Spain",2029,1224606
"Spain",2030,1438086
"Spain",2031,1482912
"Spain",2032,1527955
"Spain",2033,1573602
"Spain",2034,1615303
"Spain",2035,1657017
"Spain",2036,1698763
"Spain",2037,1740506
"Spain",2038,1782336
"Spain",2039,1823961
"Spain",2040,1865585
"Spain",2041,1907210
"Spain",2042,1948835
"Spain",2043,1990459
"Spain",2044,2032082
"Spain",2045,2073705
"Spain",2046,2115328
"Spain",2047,2156951
"Spain",2048,2198573
"Spain",2049,2240196
"Spain",2050,2281819
"Sweden",2015,3595
"Sweden",2016,3572
"Sweden",2017,4796
"Sweden",2018,8130
"Sweden",2019,16974
"Sweden",2020,29845
"Sweden",2021,60080
"Sweden",2022,99555
"Sweden",2023,119844
"Sweden",2024,179650
"Sweden",2025,238522
"Sweden",2026,245996
"Sweden",2027,254064
"Sweden",2028,262434
"Sweden",2029,270592
"Sweden",2030,323776
"Sweden",2031,327887
"Sweden",2032,332044
"Sweden",2033,336340
"Sweden",2034,340205
"Sweden",2035,344090
"Sweden",2036,348040
"Sweden",2037,351979
"Sweden",2038,356098
"Sweden",2039,359767
"Sweden",2040,363437
"Sweden",2041,367106
"Sweden",2042,370775
"Sweden",2043,374445
"Sweden",2044,378114
"Sweden",2045,381782
"Sweden",2046,385452
"Sweden",2047,389121
"Sweden",2048,392789
"Sweden",2049,396459
"Sweden",2050,400128
"Switzerland",2015,4120
"Switzerland",2016,3626
"Switzerland",2017,5156
"Switzerland",2018,5690
"Switzerland",2019,13618
"Switzerland",2020,20010
"Switzerland",2021,32968
"Switzerland",2022,42413
"Switzerland",2023,56853
"Switzerland",2024,22709
"Switzerland",2025,33083
"Switzerland",2026,47691
"Switzerland",2027,69699
"Switzerland",2028,101991
"Switzerland",2029,149549
"Switzerland",2030,219931
"Switzerland",2031,254601
"Switzerland",2032,290174
"Switzerland",2033,326674
"Switzerland",2034,364613
"Switzerland",2035,403640
"Switzerland",2036,410460
"Switzerland",2037,417721
"Switzerland",2038,425076
"Switzerland",2039,432532
"Switzerland",2040,440103
"Switzerland",2041,447744
"Switzerland",2042,455385
"Switzerland",2043,463169
"Switzerland",2044,471299
"Switzerland",2045,479715
"Switzerland",2046,486505
"Switzerland",2047,493294
"Switzerland",2048,500083
"Switzerland",2049,506873
"Switzerland",2050,513662
"Thailand",2015,34
"Thailand",2016,56
"Thailand",2017,82
"Thailand",2018,210
"Thailand",2019,919
"Thailand",2020,1730
"Thailand",2021,1990
"Thailand",2022,9974
"Thailand",2023,77109
"Thailand",2024,97279
"Thailand",2025,120833
"Thailand",2026,148204
"Thailand",2027,179937
"Thailand",2028,216722
"Thailand",2029,259053
"Thailand",2030,307929
"Thailand",2031,440890
"Thailand",2032,590287
"Thailand",2033,758981
"Thailand",2034,1073255
"Thailand",2035,1355172
"Thailand",2036,1426670
"Thailand",2037,1498168
"Thailand",2038,1569665
"Thailand",2039,1641163
"Thailand",2040,1712660
"Thailand",2041,1784158
"Thailand",2042,1855656
"Thailand",2043,1927153
"Thailand",2044,1998651
"Thailand",2045,2070148
"Thailand",2046,2141646
"Thailand",2047,2213143
"Thailand",2048,2284641
"Thailand",2049,2356139
"Thailand",2050,2427636
"Turkey",2015,140
"Turkey",2016,57
"Turkey",2017,77
"Turkey",2018,192
"Turkey",2019,229
"Turkey",2020,891
"Turkey",2021,2968
"Turkey",2022,7196
"Turkey",2023,68797
"Turkey",2024,17135
"Turkey",2025,20476
"Turkey",2026,24442
"Turkey",2027,29037
"Turkey",2028,34402
"Turkey",2029,61041
"Turkey",2030,154833
"Turkey",2031,197900
"Turkey",2032,243530
"Turkey",2033,291774
"Turkey",2034,342691
"Turkey",2035,396164
"Turkey",2036,452314
"Turkey",2037,511017
"Turkey",2038,572401
"Turkey",2039,636402
"Turkey",2040,702951
"Turkey",2041,721635
"Turkey",2042,740319
"Turkey",2043,759004
"Turkey",2044,777688
"Turkey",2045,796372
"Turkey",2046,815056
"Turkey",2047,833740
"Turkey",2048,852424
"Turkey",2049,871109
"Turkey",2050,889793
"United Arab Emirates",2015,32
"United Arab Emirates",2016,6
"United Arab Emirates",2017,432
"United Arab Emirates",2018,216
"United Arab Emirates",2019,169
"United Arab Emirates",2020,1999
"United Arab Emirates",2021,2830
"United Arab Emirates",2022,6385
"United Arab Emirates",2023,10334
"United Arab Emirates",2024,10938
"United Arab Emirates",2025,12688
"United Arab Emirates",2026,14715
"United Arab Emirates",2027,17035
"United Arab Emirates",2028,26153
"United Arab Emirates",2029,45553
"United Arab Emirates",2030,79280
"United Arab Emirates",2031,97665
"United Arab Emirates",2032,116895
"United Arab Emirates",2033,136967
"United Arab Emirates",2034,157883
"United Arab Emirates",2035,179642
"United Arab Emirates",2036,208373
"United Arab Emirates",2037,238228
"United Arab Emirates",2038,269208
"United Arab Emirates",2039,301312
"United Arab Emirates",2040,334541
"United Arab Emirates",2041,341568
"United Arab Emirates",2042,348596
"United Arab Emirates",2043,355624
"United Arab Emirates",2044,362651
"United Arab Emirates",2045,369679
"United Arab Emirates",2046,376706
"United Arab Emirates",2047,383734
"United Arab Emirates",2048,390761
"United Arab Emirates",2049,397789
"United Arab Emirates",2050,404816
"United Kingdom",2015,12417
"United Kingdom",2016,12946
"United Kingdom",2017,16936
"United Kingdom",2018,18304
"United Kingdom",2019,41191
"United Kingdom",2020,112911
"United Kingdom",2021,204193
"United Kingdom",2022,283986
"United Kingdom",2023,335273
"United Kingdom",2024,502207
"United Kingdom",2025,662895
"United Kingdom",2026,949197
"United Kingdom",2027,1112703
"United Kingdom",2028,1463517
"United Kingdom",2029,1837517
"United Kingdom",2030,2223447
"United Kingdom",2031,2270204
"United Kingdom",2032,2317280
"United Kingdom",2033,2366941
"United Kingdom",2034,2414303
"United Kingdom",2035,2461727
"United Kingdom",2036,2509384
"United Kingdom",2037,2557107
"United Kingdom",2038,2605396
"United Kingdom",2039,2651547
"United Kingdom",2040,2697709
"United Kingdom",2041,2743881
"United Kingdom",2042,2790066
"United Kingdom",2043,2836261
"United Kingdom",2044,2882131
"United Kingdom",2045,2928002
"United Kingdom",2046,2973873
"United Kingdom",2047,3019744
"United Kingdom",2048,3065615
"United Kingdom",2049,3111486
"United Kingdom",2050,3157356
"United States",2015,71701
"United States",2016,84260
"United States",2017,106700
"United States",2018,236407
"United States",2019,233890
"United States",2020,256143
"United States",2021,483744
"United States",2022,790985
"United States",2023,1158830
"United States",2024,2035626
"United States",2025,3448282
"United States",2026,4256322
"United States",2027,5101519
"United States",2028,6290761
"United States",2029,7700285
"United States",2030,8972018
"United States",2031,9804878
"United States",2032,10704253
"United States",2033,11835259
"United States",2034,12960797
"United States",2035,14857329
"United States",2036,14984472
"United States",2037,15092254
"United States",2038,15222397
"United States",2039,15334426
"United States",2040,15471111
"United States",2041,15524962
"United States",2042,15584891
"United States",2043,15628845
"United States",2044,15680038
"United States",2045,15811025
"United States",2046,15928285
"United States",2047,15996275
"United States",2048,16037727
"United States",2049,16131882
"United States",2050,16275731
"Uruguay",2015,0
"Uruguay",2016,0
"Uruguay",2017,55
"Uruguay",2018,35
"Uruguay",2019,37
"Uruguay",2020,132
"Uruguay",2021,683
"Uruguay",2022,1393
"Uruguay",2023,2080
"Uruguay",2024,1128
"Uruguay",2025,1306
"Uruguay",2026,1510
"Uruguay",2027,1748
"Uruguay",2028,2620
"Uruguay",2029,4625
"Uruguay",2030,8156
"Uruguay",2031,12252
"Uruguay",2032,16533
"Uruguay",2033,20999
"Uruguay",2034,25650
"Uruguay",2035,30485
"Uruguay",2036,31145
"Uruguay",2037,31805
"Uruguay",2038,32465
"Uruguay",2039,33125
"Uruguay",2040,33784
"Uruguay",2041,34444
"Uruguay",2042,35104
"Uruguay",2043,35764
"Uruguay",2044,36424
"Uruguay",2045,37084
"Uruguay",2046,37743
"Uruguay",2047,38403
"Uruguay",2048,39063
"Uruguay",2049,39723
"Uruguay",2050,40383
"Venezuela",2015,0
"Venezuela",2016,0
"Venezuela",2017,0
"Venezuela",2018,0
"Venezuela",2019,0
"Venezuela",2020,0
"Venezuela",2021,0
"Venezuela",2022,0
"Venezuela",2023,0
"Venezuela",2024,8979
"Venezuela",2025,12461
"Venezuela",2026,16684
"Venezuela",2027,21751
"Venezuela",2028,36640
"Venezuela",2029,69981
"Venezuela",2030,132070
"Venezuela",2031,173891
"Venezuela",2032,220848
"Venezuela",2033,272940
"Venezuela",2034,330168
"Venezuela",2035,392531
"Venezuela",2036,473970
"Venezuela",2037,562257
"Venezuela",2038,657391
"Venezuela",2039,759373
"Venezuela",2040,868202
"Venezuela",2041,910999
"Venezuela",2042,953796
"Venezuela",2043,996592
"Venezuela",2044,1039389
"Venezuela",2045,1082186
"Venezuela",2046,1124983
"Venezuela",2047,1167779
"Venezuela",2048,1210576
"Venezuela",2049,1253373
"Venezuela",2050,1296170
"Vietnam",2015,0
"Vietnam",2016,0
"Vietnam",2017,0
"Vietnam",2018,3
